       34857.6962        13848.4153         1579.1666        36733.4000     1
       36922.5342        13189.3717         1374.9847        36734.4000     1
       37126.7311        12102.0417         1150.2213        36735.4000     1
       36804.2003        10890.6930          936.3729        36736.4000     1
       35271.3595         9478.2406          727.3063        36737.4000     1
       33304.3640         8059.4712          540.8474        36738.4000     1
       30227.1720         6545.1429          367.6191        36739.4000     1
       27573.5870         5243.6353          231.6149        36740.4000     1
       24874.7143         4067.2434          121.1449        36741.4000     1
       22087.1405         3006.9545           32.1423        36742.4000     1
       19734.6095         2143.9929          -32.5081        36743.4000     1
       17112.3576         1343.2449          -85.6303        36744.4000     1
       14603.6403          659.7158         -125.2296        36745.4000     1
       12642.5368          144.7350         -149.9818        36746.4000     1
       10901.8451         -272.6326         -166.2694        36747.4000     1
        9279.2885         -620.1602         -176.8686        36749.4000     1
        7094.0924        -1052.4422         -181.0883        36750.4000     1
        5978.2687        -1230.0504         -180.9086        36751.4000     1
        5020.4373        -1365.9781         -178.6664        36752.4000     1
        4185.4194        -1469.8246         -175.0477        36753.4000     1
        3455.4116        -1547.5304         -170.4621        36754.4000     1
        2873.4154        -1597.2083         -164.9043        36755.4000     1
        2339.5868        -1633.1914         -159.0920        36756.4000     1
        1991.8366        -1641.8685         -152.4352        36757.4000     1
        1823.7297        -1626.7554         -145.1366        36758.4000     1
        1489.2790        -1626.6786         -138.8836        36759.4000     1
        1236.8402        -1614.2297         -132.4306        36760.4000     1
        1067.4184        -1590.4483         -125.8243        36761.4000     1
         999.8880        -1554.4054         -119.0252        36762.4000     1
         984.0632        -1512.1357         -112.2847        36763.4000     1
         962.9631        -1469.7393         -105.8425        36764.4000     1
         922.4860        -1428.5828          -99.7338        36765.4000     1
         957.2796        -1379.3072          -93.5530        36766.4000     1
        1024.5407        -1326.6971          -87.4983        36767.4000     1
        1100.4707        -1273.3385          -81.6693        36768.4000     1
        1235.2785        -1214.5141          -75.8620        36770.4000     1
         665.0656        -1174.4474          -68.0341        36771.4000     1
        1092.0386        -1087.8095          -61.7662        36772.4000     1
        1419.3857        -1013.6531          -56.2851        36773.4000     1
        1766.2008         -940.0351          -51.0678        36775.4000     1
        1579.7931         -876.7958          -44.5327        36776.4000     1
        2193.6480         -783.1663          -39.1210        36777.4000     1
        2761.7227         -697.7496          -34.2707        36778.4000     1
        3015.4173         -644.0916          -30.8519        36779.4000     1
        3334.7087         -586.1016          -27.4039        36781.4000     1
        3192.7299         -543.1424          -23.6565        36782.4000     1
        3617.8831         -479.1006          -20.3270        36783.4000     1
        4053.7588         -417.1639          -17.2309        36784.4000     1
        4532.5959         -354.3994          -14.2440        36785.4000     1
        4868.3648         -307.1809          -11.9620        36786.4000     1
        5187.2668         -263.5824           -9.9101        36787.4000     1
        5462.2170         -225.8162           -8.1576        36788.4000     1
        5684.7391         -194.3371           -6.7065        36789.4000     1
        5877.4309         -166.8826           -5.4610        36790.4000     1
        6099.8010         -138.1313           -4.2203        36791.4000     1
        6298.7623         -112.8176           -3.1547        36792.4000     1
        6496.2754          -88.9103           -2.1840        36793.4000     1
        6667.0422          -68.5379           -1.3792        36794.4000     1
        6861.4163          -47.2191           -0.5746        36795.4000     1
        7049.6116          -27.6056            0.1363        36796.4000     1
        7227.0994          -10.0033            0.7476        36797.4000     1
        7404.9804            6.6262            1.3007        36798.4000     1
