1000	0.20 	1638
1000	0.40 	1729
1000	0.60 	1890
1000	0.80 	2094
1000	1.00 	2403
1000	1.20 	2822
1000	1.40 	3178
1000	1.60 	3355
1000	1.80 	3507
1000	2.00 	3626
1000	2.20 	3709
1000	2.40 	3790
1000	2.60 	3845
1000	2.80 	3897
1000	3.00 	3941
1000	4.00 	4088
1000	5.00 	4170
1500	0.20 	1639
1500	0.40 	1731
1500	0.60 	1887
1500	0.80 	2082
1500	1.00 	2392
1500	1.20 	2814
1500	1.40 	3171
1500	1.60 	3350
1500	1.80 	3503
1500	2.00 	3622
1500	2.20 	3706
1500	2.40 	3786
1500	2.60 	3842
1500	2.80 	3894
1500	3.00 	3939
1500	4.00 	4087
1500	5.00 	4169
2000	0.20 	1640
2000	0.40 	1733
2000	0.60 	1883
2000	0.80 	2069
2000	1.00 	2381
2000	1.20 	2806
2000	1.40 	3164
2000	1.60 	3345
2000	1.80 	3498
2000	2.00 	3619
2000	2.20 	3703
2000	2.40 	3783
2000	2.60 	3839
2000	2.80 	3892
2000	3.00 	3937
2000	4.00 	4085
2000	5.00 	4168
2500	0.20 	1641
2500	0.40 	1735
2500	0.60 	1880
2500	0.80 	2057
2500	1.00 	2369
2500	1.20 	2798
2500	1.40 	3157
2500	1.60 	3340
2500	1.80 	3494
2500	2.00 	3615
2500	2.20 	3699
2500	2.40 	3780
2500	2.60 	3837
2500	2.80 	3889
2500	3.00 	3934
2500	4.00 	4084
2500	5.00 	4167
3000	0.20 	1641
3000	0.40 	1737
3000	0.60 	1877
3000	0.80 	2045
3000	1.00 	2358
3000	1.20 	2790
3000	1.40 	3150
3000	1.60 	3335
3000	1.80 	3490
3000	2.00 	3611
3000	2.20 	3696
3000	2.40 	3777
3000	2.60 	3834
3000	2.80 	3887
3000	3.00 	3932
3000	4.00 	4082
3000	5.00 	4166
3500	0.20 	1642
3500	0.40 	1739
3500	0.60 	1873
3500	0.80 	2030
3500	1.00 	2343
3500	1.20 	2778
3500	1.40 	3141
3500	1.60 	3328
3500	1.80 	3484
3500	2.00 	3606
3500	2.20 	3692
3500	2.40 	3773
3500	2.60 	3830
3500	2.80 	3883
3500	3.00 	3929
3500	4.00 	4080
3500	5.00 	4165
4000	0.20 	1638
4000	0.40 	1716
4000	0.60 	1915
4000	0.80 	2327
4000	1.00 	2748
4000	1.20 	3165
4000	1.40 	3384
4000	1.60 	3547
4000	1.80 	3671
4000	2.00 	3763
4000	2.20 	3841
4000	2.40 	3899
4000	2.60 	3949
4000	2.80 	3991
4000	3.00 	4027
4000	4.00 	4151
4000	5.00 	4223
4500	0.20 	1636
4500	0.40 	1714
4500	0.60 	1868
4500	0.80 	2106
