1	0.00E+00
2	0.00E+00
3	0.00E+00
4	0.00E+00
5	0.00E+00
6	0.00E+00
7	0.00E+00
8	0.00E+00
9	0.00E+00
10	0.00E+00
11	0.00E+00
12	0.00E+00
13	0.00E+00
14	0.00E+00
15	0.00E+00
16	0.00E+00
17	0.00E+00
18	0.00E+00
19	0.00E+00
20	0.00E+00
21	0.00E+00
22	0.00E+00
23	0.00E+00
24	0.00E+00
25	0.00E+00
26	0.00E+00
27	0.00E+00
28	0.00E+00
29	0.00E+00
30	0.00E+00
31	0.00E+00
32	0.00E+00
33	0.00E+00
34	0.00E+00
35	0.00E+00
36	0.00E+00
37	0.00E+00
38	0.00E+00
39	0.00E+00
40	0.00E+00
41	0.00E+00
42	0.00E+00
43	0.00E+00
44	0.00E+00
45	0.00E+00
46	0.00E+00
47	0.00E+00
48	0.00E+00
49	0.00E+00
50	0.00E+00
51	0.00E+00
52	0.00E+00
53	0.00E+00
54	0.00E+00
55	0.00E+00
56	0.00E+00
57	0.00E+00
58	0.00E+00
59	0.00E+00
60	0.00E+00
61	0.00E+00
62	0.00E+00
63	0.00E+00
64	0.00E+00
65	0.00E+00
66	0.00E+00
67	0.00E+00
68	0.00E+00
69	0.00E+00
70	0.00E+00
71	0.00E+00
72	0.00E+00
73	0.00E+00
74	0.00E+00
75	0.00E+00
76	0.00E+00
77	0.00E+00
78	0.00E+00
79	0.00E+00
80	0.00E+00
81	0.00E+00
82	0.00E+00
83	0.00E+00
84	0.00E+00
85	0.00E+00
86	0.00E+00
87	0.00E+00
88	0.00E+00
89	0.00E+00
90	0.00E+00
91	0.00E+00
92	0.00E+00
93	0.00E+00
94	0.00E+00
95	0.00E+00
96	0.00E+00
97	0.00E+00
98	0.00E+00
99	0.00E+00
100	0.00E+00
101	0.00E+00
202	5.48E-04
302	2.37E-05
403	1.10E-03
503	4.74E-05
604	1.64E-03
704	7.12E-05
805	2.19E-03
905	9.49E-05
1006	2.74E-03
1106	1.19E-04
1207	3.29E-03
1307	1.42E-04
1408	3.84E-03
1508	1.66E-04
1609	4.38E-03
1709	1.90E-04
1810	4.93E-03
1910	2.13E-04
2011	5.48E-03
2111	2.37E-04
2212	6.03E-03
2312	2.61E-04
2413	6.58E-03
2513	2.85E-04
2614	7.12E-03
2714	3.08E-04
2815	7.67E-03
2915	3.32E-04
3016	8.22E-03
3116	3.56E-04
3217	8.77E-03
3317	3.80E-04
3418	9.32E-03
3518	4.03E-04
3619	9.86E-03
3719	4.27E-04
3820	1.04E-02
3920	4.51E-04
4021	1.10E-02
4121	4.74E-04
4222	1.15E-02
4322	4.98E-04
4423	1.21E-02
4523	5.22E-04
4624	1.26E-02
4724	5.46E-04
4825	1.32E-02
4925	5.69E-04
5026	1.37E-02
5126	5.93E-04
5227	1.42E-02
5327	6.17E-04
5428	1.48E-02
5528	6.40E-04
5629	1.53E-02
5729	6.64E-04
5830	1.59E-02
5930	6.88E-04
6031	1.64E-02
6131	7.12E-04
6232	1.70E-02
6332	7.35E-04
6433	1.75E-02
6533	7.59E-04
6634	1.81E-02
6734	7.83E-04
6835	1.86E-02
6935	8.06E-04
7036	1.92E-02
7136	8.30E-04
7237	1.97E-02
7337	8.54E-04
7438	2.03E-02
7538	8.78E-04
7639	2.08E-02
7739	9.01E-04
7840	2.14E-02
7940	9.25E-04
