   0.100001E-03   0.176035E-07
   0.112203E-03   0.168006E-07
   0.125894E-03   0.159802E-07
   0.141255E-03   0.151464E-07
   0.158491E-03   0.143034E-07
   0.177829E-03   0.134563E-07
   0.199528E-03   0.126101E-07
   0.223874E-03   0.117701E-07
   0.251191E-03   0.109416E-07
   0.281840E-03   0.101298E-07
   0.316230E-03   0.933956E-08
   0.354816E-03   0.857543E-08
   0.398110E-03   0.784138E-08
   0.446687E-03   0.714082E-08
   0.501191E-03   0.647653E-08
   0.562345E-03   0.585062E-08
   0.630961E-03   0.526454E-08
   0.707950E-03   0.471907E-08
   0.794333E-03   0.421440E-08
   0.891256E-03   0.375014E-08
   0.100001E-02   0.332542E-08
   0.112203E-02   0.293895E-08
   0.125893E-02   0.258908E-08
   0.141255E-02   0.227390E-08
   0.158490E-02   0.199128E-08
   0.177829E-02   0.173899E-08
   0.199527E-02   0.151471E-08
   0.223873E-02   0.131613E-08
   0.251190E-02   0.114096E-08
   0.281840E-02   0.986962E-09
   0.316229E-02   0.852032E-09
   0.354815E-02   0.734166E-09
   0.398109E-02   0.631497E-09
   0.446686E-02   0.542302E-09
   0.501189E-02   0.465001E-09
   0.562344E-02   0.398161E-09
   0.630960E-02   0.340486E-09
   0.707949E-02   0.290816E-09
   0.794331E-02   0.248116E-09
   0.891254E-02   0.211468E-09
   0.100000E-01   0.180062E-09
   0.112202E-01   0.153187E-09
   0.125893E-01   0.130218E-09
   0.141254E-01   0.110610E-09
   0.158490E-01   0.938898E-10
   0.177829E-01   0.796469E-10
   0.199527E-01   0.675248E-10
   0.223873E-01   0.572169E-10
   0.251189E-01   0.484583E-10
   0.281839E-01   0.410214E-10
   0.316229E-01   0.347112E-10
   0.354814E-01   0.293601E-10
   0.398108E-01   0.248248E-10
   0.446685E-01   0.209831E-10
   0.501188E-01   0.177304E-10
   0.562343E-01   0.149775E-10
   0.630959E-01   0.126488E-10
   0.707947E-01   0.106794E-10
   0.794330E-01   0.901462E-11
   0.891253E-01   0.760773E-11
   0.100000E+00   0.641915E-11
   0.112202E+00   0.541523E-11
   0.125893E+00   0.456758E-11
   0.141254E+00   0.385201E-11
   0.158490E+00   0.324803E-11
   0.177828E+00   0.273840E-11
   0.199527E+00   0.230841E-11
   0.223873E+00   0.194573E-11
   0.251189E+00   0.163985E-11
   0.281839E+00   0.138191E-11
   0.316228E+00   0.116444E-11
   0.354814E+00   0.981080E-12
   0.398108E+00   0.826539E-12
   0.446685E+00   0.696284E-12
   0.501188E+00   0.586504E-12
   0.562343E+00   0.494011E-12
   0.630959E+00   0.416068E-12
   0.707947E+00   0.350409E-12
   0.794330E+00   0.295094E-12
   0.891253E+00   0.248497E-12
   0.100000E+01   0.209248E-12
